zip,k_neighbour,target_ratio,random_state,ok,status,file,error
valid-input.zip,5,"",42,1,200,augmented_dataset.zip,
valid-input.zip,5,"",0,1,200,augmented_dataset.zip,
valid-input.zip,5,"",-1,0,500,,"Server error"
valid-input.zip,5,"",999999,1,200,augmented_dataset.zip,
valid-input.zip,5,"","abc",0,400,,"random_state must be a valid integer"
valid-input.zip,5,"0.0",42,0,500,,"Server error"
valid-input.zip,5,"0.0",0,0,500,,"Server error"
valid-input.zip,5,"0.0",-1,0,500,,"Server error"
valid-input.zip,5,"0.0",999999,0,500,,"Server error"
valid-input.zip,5,"0.0","abc",0,400,,"random_state must be a valid integer"
valid-input.zip,5,"1.0",42,1,200,augmented_dataset.zip,
valid-input.zip,5,"1.0",0,1,200,augmented_dataset.zip,
valid-input.zip,5,"1.0",-1,0,500,,"Server error"
valid-input.zip,5,"1.0",999999,1,200,augmented_dataset.zip,
valid-input.zip,5,"1.0","abc",0,400,,"random_state must be a valid integer"
valid-input.zip,5,"0.25",42,1,200,augmented_dataset.zip,
valid-input.zip,5,"0.25",0,1,200,augmented_dataset.zip,
valid-input.zip,5,"0.25",-1,0,500,,"Server error"
valid-input.zip,5,"0.25",999999,1,200,augmented_dataset.zip,
valid-input.zip,5,"0.25","abc",0,400,,"random_state must be a valid integer"
valid-input.zip,5,"1.01",42,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"1.01",0,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"1.01",-1,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"1.01",999999,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"1.01","abc",0,400,,"random_state must be a valid integer"
valid-input.zip,5,"-0.1",42,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"-0.1",0,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"-0.1",-1,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"-0.1",999999,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"-0.1","abc",0,400,,"random_state must be a valid integer"
valid-input.zip,5,"abc",42,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"abc",0,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"abc",-1,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"abc",999999,0,400,,"target_ratio must be between 0.0 and 1.0"
valid-input.zip,5,"abc","abc",0,400,,"random_state must be a valid integer"
valid-input.zip,5,"null",42,1,200,augmented_dataset.zip,
valid-input.zip,5,"null",0,1,200,augmented_dataset.zip,
valid-input.zip,5,"null",-1,0,500,,"Server error"
valid-input.zip,5,"null",999999,1,200,augmented_dataset.zip,
valid-input.zip,5,"null","abc",0,400,,"random_state must be a valid integer"
valid-input.zip,2,"",42,1,200,augmented_dataset.zip,
valid-input.zip,2,"",0,1,200,augmented_dataset.zip,
valid-input.zip,2,"",-1,0,500,,"Server error"
valid-input.zip,2,"",999999,1,200,augmented_dataset.zip,
valid-input.zip,2,"","abc",0,400,,"random_state must be a valid integer"
valid-input.zip,2,"0.0",42,0,500,,"Server error"
valid-input.zip,2,"0.0",0,0,500,,"Server error"
valid-input.zip,2,"0.0",-1,0,500,,"Server error"
valid-input.zip,2,"0.0",999999,0,500,,"Server error"
valid-input.zip,2,"0.0","abc",0,400,,"random_state must be a valid integer"
valid-input.zip,2,"1.0",42,1,200,augmented_dataset.zip,
